"data.hotel.1.","service","buss_service","clean","frontdesk","value","rooms","location","sleep"
"1","1059946",0.801091039883787,NA,0.629226725229678,NA,0.663167079940063,0.607229176445988,0.25048971643406,0.78185049035723
"1","257310",0.732419399674587,0.846153846153846,0.578497152095525,0.807645408035787,0.704067305001221,0.694515794542692,0.412577927910302,0.608852401723589
"1","593563",0.577350269189626,NA,0.577350269189626,1,0.516397779494322,0.333333333333333,-1,NA
"1","1220195",0.685664553221632,NA,0.50548341242586,NA,0.722645181663878,0.76257689100774,0.487481479864018,0.669144568263122
"1","80131",0.680990546871034,0.479793851887616,0.648433878940053,0.520604484040381,0.728653939643615,0.707186825650676,0.453964011248405,0.729387806152147
"1","518382",0.470620805335012,NA,NA,-0.0857492925712544,0.265497122026796,0.452380952380952,0.685994340570035,NA
"1","210064",0.705228118768217,NA,0.80490886570006,0.620173672946042,0.731471809747487,0.815613120948947,0.570903908276437,0.646854562224635
"1","312457",0.71651797432557,0.462627701552666,0.668962207261529,0.587452488334085,0.802510324646172,0.628033035438826,0.586763014012825,NA
"1","197793",0.690808395004085,0,0.754067380457336,0.774596669241483,0.773165709315588,0.663886147968675,0.269679944985297,0.545473174048511
"1","241705",0.868599036215379,NA,0.545705156331749,NA,0.666972968849916,0.668153104781061,-0.533001790889026,0
"1","489049",0.671727234335582,-0.816496580927726,0.630421205140712,0.444749589996661,0.706716572591229,0.795500289115812,0.517352867873218,0.630644754301464
"1","615939",0.804617277707504,NA,0.65492103999448,0.5,0.566441184037021,0.840168050416806,0.590454922734939,0.418121005003545
"1","1895420",0.447602307955351,NA,0.507392164415887,NA,0.563200782981717,0.657368875429799,0.562828577364065,0.397318463701776
"1","295492",0.689777270520586,NA,0.590243252205558,NA,0.35327363316133,0.70561112051889,0.194090785141161,0.630072502301447
"1","151973",0.588239792498087,0.50395263067897,0.75,0.870388279778489,0.787506836026511,0.770959506480389,0.361161275883335,0.738377352776741
"1","2516241",0.687793392118584,0.341076910324691,0.629936611040254,0.429394916161047,0.721890718331477,0.646734267895033,0.533698648990919,0.592342869821407
"1","637482",NA,NA,NA,NA,NA,NA,NA,NA
"1","796339",0.836242010007091,NA,0.615384615384615,NA,0.923076923076923,0.942809041582063,0.222222222222222,0.801783725737273
"1","1718864",0.648647715560043,NA,0.497599330893555,NA,0.622049342127694,0.668579836129035,0.439034592497344,0.613439471565957
